authority_identifier,authority_name,county
chanarambie_twp_mn,Chanarambie,Murray
charlestown_twp_mn,Charlestown,Redwood
chatfield_twp_mn,Chatfield,Fillmore
chatham_twp_mn,Chatham,Wright
chengwatana_twp_mn,Chengwatana,Pine
cherry_twp_mn,Cherry,St. Louis
cherry-grove_twp_mn,Cherry Grove,Goodhue
chester/polk_twp_mn,Chester,Polk
chester/wabasha_twp_mn,Chester,Wabasha
chief_twp_mn,Chief,Mahnomen
chippewa-falls_twp_mn,Chippewa Falls,Pope
chisago-lake_twp_mn,Chisago Lake,Chisago
christiania_twp_mn,Christiania,Jackson
claremont_twp_mn,Claremont,Dodge
clark/aitkin_twp_mn,Clark,Aitkin
clark/faribault_twp_mn,Clark,Faribault
clay_twp_mn,Clay,Hubbard
clayton_twp_mn,Clayton,Mower
clear-lake_twp_mn,Clear Lake,Sherburne
clearwater_twp_mn,Clearwater,Wright
cleveland_twp_mn,Cleveland,Le Sueur
clifton/lyon_twp_mn,Clifton,Lyon
clifton/traverse_twp_mn,Clifton,Traverse
clinton/rock_twp_mn,Clinton,Rock
clinton/st-louis_twp_mn,Clinton,St. Louis
clinton-falls_twp_mn,Clinton Falls,Steele
clitherall_twp_mn,Clitherall,Otter Tail
clontarf_twp_mn,Clontarf,Swift
clover/clearwater_twp_mn,Clover,Clearwater
clover/hubbard_twp_mn,Clover,Hubbard
clover/mahnomen_twp_mn,Clover,Mahnomen
clover/pine_twp_mn,Clover,Pine
clover-leaf_twp_mn,Clover Leaf,Pennington
clow_twp_mn,Clow,Kittson
cokato_twp_mn,Cokato,Wright
colfax_twp_mn,Colfax,Kandiyohi
collegeville_twp_mn,Collegeville,Stearns
collins_twp_mn,Collins,McLeod
collinwood_twp_mn,Collinwood,Meeker
columbia_twp_mn,Columbia,Polk
colvin_twp_mn,Colvin,St. Louis
comfort_twp_mn,Comfort,Kanabec
como_twp_mn,Como,Marshall
compton_twp_mn,Compton,Otter Tail
comstock_twp_mn,Comstock,Marshall
concord_twp_mn,Concord,Dodge
connelly_twp_mn,Connelly,Wilkin
coon-creek_twp_mn,Coon Creek,Lyon
copley_twp_mn,Copley,Clearwater
cordova_twp_mn,Cordova,Le Sueur
corinna_twp_mn,Corinna,Wright
